#mpa_vJan25_CHOCOPhlAnSGB_202503
clade_name	SRR30543090	SRR30543092	SRR30543093	SRR30543094	SRR30543095	SRR30543096	SRR30543097	SRR30543098	SRR30543099	SRR30543100	SRR30543101	SRR30543103	SRR30543104	SRR30543105	SRR30543106	SRR30543107	SRR30543108	SRR30543109	SRR30543110	SRR30543111	SRR30543112	SRR30543114	SRR30543115	SRR30543116	SRR30543117	SRR30543118
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Lawsonellaceae|g__Lawsonella	3.215794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.495464	0.001413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024799
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	3.175571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.491275	0.0	0.0	0.0	1.790266	0.015227	0.2533805	0.0	8.0612189	0.618463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	2.689071	0.0	0.0	0.003732	0.0	0.0	0.0	0.0	0.838434	0.534993	0.0	2.950627	4.282588	0.268857	0.5288706	0.0	0.0	0.0	0.0	0.0	0.256451	0.0	0.0	0.0	1.043779	0.061844
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Peptoniphilus	1.506007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.118618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041747
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Anaerococcus	1.388795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012204	2.240035	0.014316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.164495
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium	1.198017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.163749
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__GGB10524	1.049233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.131387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.246089
k__Bacteria|p__Mycoplasmatota|c__Mycoplasmatota_unclassified|o__Mycoplasmoidales|f__Mycoplasmoidaceae|g__Ureaplasma	1.042417	0.033666	0.0	0.0	0.0	0.088321	0.0	0.0	0.0	0.0	0.0	0.0	0.185238	0.0	0.0	0.0	0.1598021	0.0	0.0	0.001227	0.0	0.0	0.0	0.0	0.001188	0.0
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Finegoldia	0.925314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.257747
k__Bacteria|p__Firmicutes|c__Clostridia|o__Peptostreptococcales|f__Peptostreptococcaceae|g__Peptostreptococcus	0.362842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.502441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	0.230937	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonellaceae_unclassified	0.190877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019016	0.059805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19189	0.0
